epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1342,2.03726,6.19703,0.62977,3.09397,0.01187,9.37188,0.7032,0.72398,0.73773,0.46188,0.75718,0.55556,0.52721,0.32888,1.57543,3.85328,0.33791,0.92749,0.0109,0,0.000444444,0.000444444,0.000444444
2,23.7762,2.08912,6.21662,0.6077,2.89677,0.01266,8.80674,0.70139,0.7178,0.74076,0.468,0.76161,0.55556,0.55341,0.33222,1.56641,3.81058,0.33726,0.9196,0.01083,0,0.00110561,0.00110561,0.00110561
3,29.101,2.15929,6.57197,0.62869,3.21685,0.01164,9.7278,0.68843,0.73671,0.749,0.47482,0.79328,0.53316,0.57217,0.33924,1.55006,3.80618,0.33557,0.9578,0.01077,0,0.00176018,0.00176018,0.00176018
4,32.2309,2.11173,6.00483,0.57528,2.93511,0.01149,8.32134,0.65563,0.75,0.75623,0.47943,0.84114,0.52778,0.57972,0.34405,1.53916,3.76978,0.33396,0.9814,0.0108,0,0.0019703,0.0019703,0.0019703
5,34.1155,2.06793,5.98263,0.58373,2.83202,0.0128,8.46793,0.64831,0.75,0.75446,0.47018,0.82821,0.52778,0.59552,0.34158,1.58656,3.80957,0.3399,0.92158,0.01119,0,0.0019604,0.0019604,0.0019604
6,35.9376,1.98136,6.30099,0.59803,2.96289,0.01166,9.20285,0.64831,0.75,0.75446,0.47018,0.82821,0.52778,0.59552,0.34158,1.58656,3.80957,0.3399,0.92158,0.01119,0,0.0019505,0.0019505,0.0019505
7,38.66,1.89214,5.62246,0.59239,2.71299,0.01114,7.42606,0.71233,0.68798,0.75394,0.46477,0.79482,0.52778,0.59178,0.32842,1.58678,3.78777,0.34131,0.93472,0.01125,0,0.0019406,0.0019406,0.0019406
8,41.2253,2.03451,6.62069,0.56888,2.74946,0.01302,9.82135,0.56729,0.52778,0.44344,0.15227,0.15611,0.13889,0.03958,0.00551,2.91336,5.9802,0.46177,3.45672,0.02393,0,0.0019307,0.0019307,0.0019307
9,43.7459,2.42839,8.76255,0.56197,2.16921,0.01651,14.5718,0.40107,0.11111,0.1223,0.02361,0.16792,0.13889,0.06496,0.01647,4.10044,6.74981,0.41091,4.98651,0.03443,0,0.0019208,0.0019208,0.0019208
10,45.599,2.491,6.29072,0.48049,1.91594,0.01388,7.74392,0.40107,0.11111,0.1223,0.02361,0.16792,0.13889,0.06496,0.01647,4.10044,6.74981,0.41091,4.98651,0.03443,0,0.0019109,0.0019109,0.0019109
11,47.2814,2.37855,5.39869,0.45664,1.55887,0.01388,6.70412,0.57901,0.49675,0.50238,0.17826,0.57901,0.49675,0.49753,0.16763,2.6026,3.81179,0.39464,3.00729,0.01768,0,0.001901,0.001901,0.001901
12,49.0381,2.32664,5.18229,0.45692,1.54914,0.01439,6.90139,0.66504,0.47222,0.60994,0.22186,0.59914,0.47222,0.58044,0.221,2.003,3.73918,0.39828,2.15761,0.01412,0,0.0018911,0.0018911,0.0018911
13,50.7494,2.04967,4.60967,0.43465,1.45134,0.01153,6.23338,0.46253,0.55556,0.4594,0.20169,0.49399,0.47222,0.45196,0.18082,2.1437,3.32869,0.36338,1.89168,0.01554,0,0.0018812,0.0018812,0.0018812
14,52.4433,1.92385,3.83266,0.40797,1.25512,0.0104,5.30042,0.46253,0.55556,0.4594,0.20169,0.49399,0.47222,0.45196,0.18082,2.1437,3.32869,0.36338,1.89168,0.01554,0,0.0018713,0.0018713,0.0018713
15,54.6105,1.92853,4.32847,0.39576,1.40344,0.00936,5.63278,0.8289,0.5,0.68365,0.30636,0.53099,0.66667,0.58795,0.20713,2.00471,3.1101,0.38254,0.95683,0.01393,0,0.0018614,0.0018614,0.0018614
16,57.266,1.82229,3.99534,0.39019,1.22692,0.00986,5.26541,0.72177,0.63889,0.77186,0.38838,0.75512,0.63889,0.70339,0.26235,2.01484,2.99849,0.37317,0.74924,0.01433,0,0.0018515,0.0018515,0.0018515
17,59.3169,1.85954,3.67065,0.39788,1.09766,0.00936,4.91868,0.80369,0.68255,0.79636,0.41346,0.79454,0.53735,0.65936,0.26717,2.0462,3.31919,0.37718,0.93162,0.0158,0,0.0018416,0.0018416,0.0018416
18,61.0134,1.8192,3.77121,0.35733,1.17184,0.00907,4.57143,0.80369,0.68255,0.79636,0.41346,0.79454,0.53735,0.65936,0.26717,2.0462,3.31919,0.37718,0.93162,0.0158,0,0.0018317,0.0018317,0.0018317
19,62.7219,1.72486,3.40618,0.3703,1.02809,0.00938,4.74889,0.8008,0.78176,0.83062,0.45569,0.86182,0.69302,0.75123,0.29955,1.8156,3.22302,0.37324,0.93196,0.01265,0,0.0018218,0.0018218,0.0018218
20,64.5064,1.70948,3.27291,0.38315,1.01062,0.00952,4.58996,0.79041,0.77778,0.78555,0.32855,0.68066,0.59227,0.65433,0.2136,2.22416,4.31862,0.43148,1.27578,0.01656,0,0.0018119,0.0018119,0.0018119
21,66.2136,1.70682,3.30962,0.37351,1.04739,0.00838,3.83928,0.69733,0.77778,0.75622,0.38644,0.73301,0.63889,0.69008,0.28376,1.77145,3.22862,0.39633,1.21571,0.01241,0,0.001802,0.001802,0.001802
22,68.0013,1.64686,3.35953,0.33932,1.00057,0.00797,3.88567,0.69733,0.77778,0.75622,0.38644,0.73301,0.63889,0.69008,0.28376,1.77145,3.22862,0.39633,1.21571,0.01241,0,0.0017921,0.0017921,0.0017921
23,70.5237,1.54934,3.03753,0.3474,0.84458,0.00731,3.82291,0.86242,0.69654,0.76909,0.40986,0.79441,0.64415,0.72937,0.37454,1.79653,2.62962,0.36054,0.92822,0.01247,0,0.0017822,0.0017822,0.0017822
24,72.6993,1.60222,3.61323,0.3157,1.02982,0.0076,4.0439,0.82315,0.77582,0.82399,0.42062,0.72975,0.75007,0.76843,0.41446,1.85486,2.5385,0.33086,0.85105,0.01293,0,0.0017723,0.0017723,0.0017723
25,74.4078,1.5475,3.04608,0.35951,0.91092,0.00775,3.57601,0.89829,0.73621,0.88323,0.45338,0.86542,0.71468,0.82661,0.46011,1.79715,2.54285,0.33183,0.71246,0.0122,0,0.0017624,0.0017624,0.0017624
26,76.2377,1.46294,2.81658,0.34315,0.86063,0.00682,3.31567,0.89829,0.73621,0.88323,0.45338,0.86542,0.71468,0.82661,0.46011,1.79715,2.54285,0.33183,0.71246,0.0122,0,0.0017525,0.0017525,0.0017525
27,77.967,1.58584,3.11671,0.36748,0.94774,0.0074,3.49164,0.86051,0.77778,0.89332,0.48054,0.8293,0.75,0.86701,0.48221,1.8264,2.29297,0.32281,0.59482,0.01274,0,0.0017426,0.0017426,0.0017426
28,79.7565,1.54018,2.87811,0.36971,0.88864,0.00726,3.18568,0.93429,0.79008,0.92916,0.48498,0.92917,0.75,0.89611,0.50492,1.81539,2.01499,0.32677,0.5913,0.01266,0,0.0017327,0.0017327,0.0017327
29,81.5034,1.59965,2.66902,0.33975,0.86503,0.00826,2.84389,0.89905,0.80556,0.9214,0.51261,0.86805,0.77778,0.89626,0.5151,1.63743,2.41364,0.32584,0.5276,0.01054,0,0.0017228,0.0017228,0.0017228
30,83.7207,1.44225,3.05591,0.33156,0.78456,0.00724,3.3064,0.89905,0.80556,0.9214,0.51261,0.86805,0.77778,0.89626,0.5151,1.63743,2.41364,0.32584,0.5276,0.01054,0,0.0017129,0.0017129,0.0017129
31,86.345,1.50057,2.84281,0.34623,0.76089,0.00722,2.97401,0.93374,0.78306,0.92975,0.5399,0.90061,0.75529,0.8985,0.52661,1.54222,2.14829,0.32117,0.51394,0.01005,0,0.001703,0.001703,0.001703
32,88.1796,1.48037,2.47787,0.33917,0.8001,0.00668,2.67918,0.99523,0.86111,0.9631,0.54257,0.93926,0.85919,0.9226,0.53018,1.49062,1.92742,0.30768,0.54402,0.00931,0,0.0016931,0.0016931,0.0016931
33,89.8894,1.40292,2.54768,0.31858,0.81138,0.00695,2.74537,0.97159,0.83333,0.96344,0.56041,0.93707,0.80556,0.92069,0.53662,1.52146,1.96475,0.29882,0.51385,0.00943,0,0.0016832,0.0016832,0.0016832
34,91.6026,1.40654,2.72309,0.30685,0.7819,0.00661,2.56374,0.97159,0.83333,0.96344,0.56041,0.93707,0.80556,0.92069,0.53662,1.52146,1.96475,0.29882,0.51385,0.00943,0,0.0016733,0.0016733,0.0016733
35,93.2979,1.5083,2.659,0.33457,0.78466,0.00734,2.33179,0.98655,0.80556,0.94209,0.58658,0.93882,0.8527,0.92361,0.5327,1.53487,1.99572,0.28616,0.63112,0.00993,0,0.0016634,0.0016634,0.0016634
36,94.9777,1.36603,2.31381,0.32568,0.74092,0.00713,2.05364,0.98496,0.80556,0.95031,0.58882,0.97732,0.80556,0.92458,0.55687,1.47765,1.82704,0.29384,0.60995,0.00912,0,0.0016535,0.0016535,0.0016535
37,96.7331,1.51155,2.72503,0.34547,0.69935,0.0084,3.18627,0.99201,0.80556,0.95111,0.5591,0.99201,0.80556,0.92629,0.5853,1.62052,1.66216,0.29559,0.60511,0.00977,0,0.0016436,0.0016436,0.0016436
38,99.3968,1.39786,2.20635,0.36208,0.61514,0.00727,2.23489,0.99201,0.80556,0.95111,0.5591,0.99201,0.80556,0.92629,0.5853,1.62052,1.66216,0.29559,0.60511,0.00977,0,0.0016337,0.0016337,0.0016337
39,101.56,1.46449,2.42755,0.31889,0.65441,0.0073,1.89194,0.88722,0.87433,0.96373,0.55164,0.96714,0.81774,0.92892,0.6159,1.63315,1.71622,0.29791,0.5979,0.01005,0,0.0016238,0.0016238,0.0016238
40,103.278,1.54775,2.71632,0.33288,0.8119,0.00786,2.74024,0.91882,0.94444,0.97289,0.61177,0.89112,0.91667,0.94326,0.59928,1.39742,1.759,0.28894,0.54581,0.00845,0,0.0016139,0.0016139,0.0016139
41,105.096,1.41365,2.55675,0.30368,0.75335,0.00634,2.08466,0.91612,0.94444,0.97455,0.61616,0.889,0.91667,0.94524,0.60173,1.33157,1.59076,0.28389,0.5496,0.00814,0,0.001604,0.001604,0.001604
42,106.86,1.37871,2.40451,0.29823,0.69984,0.00786,2.38021,0.91612,0.94444,0.97455,0.61616,0.889,0.91667,0.94524,0.60173,1.33157,1.59076,0.28389,0.5496,0.00814,0,0.0015941,0.0015941,0.0015941
43,108.497,1.41647,2.51007,0.3248,0.67244,0.00581,1.58103,0.91823,0.94444,0.97316,0.60301,0.89062,0.91667,0.94482,0.61577,1.29492,1.58129,0.27893,0.55437,0.00799,0,0.0015842,0.0015842,0.0015842
44,110.233,1.33484,2.23243,0.33041,0.69233,0.00598,1.43245,0.89471,0.91667,0.97373,0.61835,0.86709,0.88889,0.94809,0.60232,1.29457,1.5933,0.27933,0.56426,0.00795,0,0.0015743,0.0015743,0.0015743
45,112.283,1.41453,2.40139,0.31514,0.71509,0.00606,1.28189,0.88885,0.94444,0.97013,0.62072,0.86271,0.91667,0.94501,0.60914,1.27523,1.67674,0.27825,0.60006,0.00772,0,0.0015644,0.0015644,0.0015644
46,116.064,1.38466,2.34962,0.31071,0.59958,0.00615,1.44274,0.88885,0.94444,0.97013,0.62072,0.86271,0.91667,0.94501,0.60914,1.27523,1.67674,0.27825,0.60006,0.00772,0,0.0015545,0.0015545,0.0015545
47,117.98,1.4266,2.37588,0.30921,0.70361,0.0068,1.44252,0.88413,0.94444,0.96651,0.62102,0.85813,0.91667,0.94154,0.6119,1.24423,1.61194,0.27788,0.59412,0.00743,0,0.0015446,0.0015446,0.0015446
48,121.677,1.38032,2.21662,0.33303,0.62038,0.00587,1.29535,0.87036,0.94444,0.96631,0.60987,0.84464,0.91667,0.94214,0.61717,1.27858,1.55305,0.28213,0.59899,0.00774,0,0.0015347,0.0015347,0.0015347
49,123.782,1.37342,2.09178,0.2912,0.62073,0.0066,1.31713,0.86714,0.94444,0.96023,0.5978,0.84146,0.91667,0.93646,0.63335,1.29789,1.49097,0.27179,0.57846,0.00791,0,0.0015248,0.0015248,0.0015248
50,125.441,1.37355,2.3156,0.30782,0.64167,0.00666,1.43977,0.86714,0.94444,0.96023,0.5978,0.84146,0.91667,0.93646,0.63335,1.29789,1.49097,0.27179,0.57846,0.00791,0,0.0015149,0.0015149,0.0015149
51,127.973,1.31575,2.04592,0.30566,0.67067,0.00589,1.06774,0.86827,0.94444,0.95783,0.59693,0.84227,0.91667,0.9149,0.60036,1.25457,1.54187,0.2759,0.61916,0.00757,0,0.001505,0.001505,0.001505
52,130.393,1.33122,2.37126,0.29378,0.67972,0.00573,1.29573,0.86948,0.94444,0.95596,0.61406,0.84349,0.91667,0.91964,0.65313,1.18827,1.4729,0.27198,0.62006,0.00717,0,0.0014951,0.0014951,0.0014951
53,132.19,1.35438,2.08931,0.2925,0.61233,0.00598,0.9046,0.89142,0.91235,0.9545,0.63019,0.86451,0.88623,0.91736,0.66343,1.22874,1.47633,0.27009,0.61588,0.00751,0,0.0014852,0.0014852,0.0014852
54,133.987,1.28997,2.16214,0.30379,0.70851,0.00591,1.11487,0.89142,0.91235,0.9545,0.63019,0.86451,0.88623,0.91736,0.66343,1.22874,1.47633,0.27009,0.61588,0.00751,0,0.0014753,0.0014753,0.0014753
55,135.725,1.34027,2.30359,0.33242,0.7839,0.00557,1.01984,0.89019,0.90091,0.9584,0.62781,0.8628,0.87361,0.91357,0.6564,1.31562,1.43582,0.26904,0.60235,0.00796,0,0.0014654,0.0014654,0.0014654
56,137.416,1.20895,1.98082,0.28143,0.59636,0.00564,0.95891,0.91631,0.91255,0.96081,0.61945,0.8885,0.88545,0.91516,0.62096,1.30099,1.53437,0.26847,0.6272,0.00783,0,0.0014555,0.0014555,0.0014555
57,139.152,1.23914,1.91005,0.28564,0.56327,0.00554,0.79168,0.88735,0.94444,0.96107,0.63199,0.85751,0.91667,0.93474,0.65289,1.24644,1.49492,0.27,0.57142,0.00741,0,0.0014456,0.0014456,0.0014456
58,141.26,1.3697,2.3543,0.32593,0.72915,0.00581,1.28793,0.88735,0.94444,0.96107,0.63199,0.85751,0.91667,0.93474,0.65289,1.24644,1.49492,0.27,0.57142,0.00741,0,0.0014357,0.0014357,0.0014357
59,143.858,1.1642,1.83822,0.2894,0.59537,0.00575,0.90307,0.87565,0.94444,0.96044,0.62467,0.84949,0.91667,0.93448,0.64645,1.22432,1.55343,0.26836,0.56032,0.00756,0,0.0014258,0.0014258,0.0014258
60,145.79,1.21908,1.80891,0.2935,0.5562,0.00577,0.91382,0.88383,0.94444,0.96699,0.6305,0.85783,0.91667,0.94135,0.66735,1.25092,1.53285,0.26796,0.56303,0.0079,0,0.0014159,0.0014159,0.0014159
61,147.547,1.24514,1.99947,0.30164,0.58101,0.0059,1.16963,0.89463,0.94337,0.96725,0.6142,0.86828,0.9156,0.94176,0.62561,1.27751,1.53498,0.26937,0.5533,0.00786,0,0.001406,0.001406,0.001406
62,149.456,1.24938,1.84557,0.29436,0.52898,0.00562,0.63336,0.89463,0.94337,0.96725,0.6142,0.86828,0.9156,0.94176,0.62561,1.27751,1.53498,0.26937,0.5533,0.00786,0,0.0013961,0.0013961,0.0013961
63,151.348,1.30333,1.78811,0.27251,0.56918,0.00633,1.03235,0.91789,0.93178,0.9723,0.64107,0.89091,0.90757,0.94595,0.61668,1.17684,1.56578,0.27272,0.52325,0.00722,0,0.0013862,0.0013862,0.0013862
64,153.055,1.30913,1.79215,0.2955,0.65707,0.00692,1.03617,0.94407,0.93781,0.97406,0.63956,0.91614,0.91052,0.94767,0.66775,1.22827,1.50359,0.27563,0.51546,0.00749,0,0.0013763,0.0013763,0.0013763
65,154.955,1.21706,1.86927,0.2845,0.59574,0.00514,0.44434,0.94434,0.94265,0.97662,0.63258,0.91657,0.91548,0.951,0.67317,1.22596,1.48233,0.27399,0.50489,0.00753,0,0.0013664,0.0013664,0.0013664
66,157.434,1.27775,1.71451,0.28794,0.54011,0.00688,0.80137,0.94434,0.94265,0.97662,0.63258,0.91657,0.91548,0.951,0.67317,1.22596,1.48233,0.27399,0.50489,0.00753,0,0.0013565,0.0013565,0.0013565
67,159.585,1.22141,1.65829,0.28857,0.51011,0.00615,0.54018,0.94432,0.94233,0.97911,0.66697,0.91654,0.91516,0.95388,0.66957,1.15591,1.39153,0.27229,0.4991,0.00717,0,0.0013466,0.0013466,0.0013466
68,161.348,1.20692,1.90738,0.3009,0.57861,0.00523,0.41941,0.94444,0.94443,0.98049,0.65635,0.91634,0.91667,0.95692,0.68214,1.28212,1.37974,0.26173,0.4968,0.00804,0,0.0013367,0.0013367,0.0013367
69,163.136,1.19807,1.6177,0.2722,0.50354,0.0057,0.40607,0.94439,0.94444,0.9792,0.66567,0.91635,0.91667,0.95676,0.68977,1.26077,1.32837,0.2586,0.51743,0.00769,0,0.0013268,0.0013268,0.0013268
70,164.862,1.22836,1.90365,0.29206,0.56529,0.00512,0.53869,0.94439,0.94444,0.9792,0.66567,0.91635,0.91667,0.95676,0.68977,1.26077,1.32837,0.2586,0.51743,0.00769,0,0.0013169,0.0013169,0.0013169
71,166.542,1.12252,1.69596,0.26888,0.50479,0.0055,0.53777,0.94295,0.94444,0.97876,0.67713,0.91497,0.91667,0.95593,0.69518,1.23643,1.3322,0.25744,0.51219,0.00742,0,0.001307,0.001307,0.001307
72,168.299,1.12093,1.68179,0.28409,0.51888,0.00478,0.15433,0.94218,0.94444,0.97792,0.68205,0.91424,0.91667,0.95499,0.6933,1.2387,1.35661,0.25723,0.49913,0.00737,0,0.0012971,0.0012971,0.0012971
73,171.804,1.25562,1.88643,0.28608,0.57051,0.00533,0.33884,0.94181,0.94444,0.97655,0.6809,0.91388,0.91667,0.95324,0.67335,1.21338,1.38756,0.25616,0.522,0.00725,0,0.0012872,0.0012872,0.0012872
74,174.589,1.14267,1.56831,0.29943,0.53824,0.00508,0.31816,0.94181,0.94444,0.97655,0.6809,0.91388,0.91667,0.95324,0.67335,1.21338,1.38756,0.25616,0.522,0.00725,0,0.0012773,0.0012773,0.0012773
75,176.28,1.1743,1.59532,0.27866,0.5208,0.00532,0.28247,0.9418,0.94444,0.97413,0.68103,0.91386,0.91667,0.95051,0.6869,1.17644,1.30247,0.25539,0.47597,0.00688,0,0.0012674,0.0012674,0.0012674
76,177.961,1.23695,2.0858,0.2933,0.66077,0.00598,1.41784,0.94421,0.94036,0.97522,0.67606,0.91634,0.91291,0.9521,0.6978,1.1876,1.30777,0.25051,0.44952,0.00727,0,0.0012575,0.0012575,0.0012575
77,179.685,1.09071,1.41569,0.2929,0.49258,0.00477,0.06928,0.94045,0.94444,0.97441,0.65762,0.9125,0.91667,0.95213,0.66217,1.29373,1.36006,0.24932,0.48752,0.0081,0,0.0012476,0.0012476,0.0012476
78,181.343,1.27387,1.7384,0.29882,0.60165,0.00518,0.22232,0.94045,0.94444,0.97441,0.65762,0.9125,0.91667,0.95213,0.66217,1.29373,1.36006,0.24932,0.48752,0.0081,0,0.0012377,0.0012377,0.0012377
79,183.099,1.22714,1.9759,0.27411,0.55583,0.0058,0.4319,0.93606,0.94444,0.97572,0.65865,0.90817,0.91667,0.95343,0.66809,1.26035,1.3305,0.2473,0.468,0.00772,0,0.0012278,0.0012278,0.0012278
80,185.653,1.14789,1.67021,0.272,0.53582,0.00551,0.13402,0.91774,0.94444,0.97392,0.66749,0.94191,0.90105,0.9522,0.66469,1.20364,1.46372,0.24929,0.42618,0.00729,0,0.0012179,0.0012179,0.0012179
